"","Pathway","Total.x","Expected.x","Hits.x","P.Value.x","FDR.x","Total.y","Expected.y","Hits.y","P.Value.y","FDR.y"
"32","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways",67,16.8,42,7.33e-11,8.86e-10,67,7.98,39,8.47e-20,9.9e-18
"33","Signaling by EGFR",179,45,92,1.84e-14,4.03e-13,179,21.3,48,2.61e-08,7.46e-07
"34","Signaling by EGFR in Cancer",181,45.5,94,4.04e-15,1.21e-13,181,21.6,50,4.48e-09,1.61e-07
"35","Signaling by ERBB2",164,41.2,81,1.06e-11,1.41e-10,164,19.5,45,3.39e-08,8.96e-07
"36","Signaling by ERBB4",152,38.2,77,6.88e-12,9.64e-11,152,18.1,44,8.24e-09,2.62e-07
"37","Signaling by FGFR",162,40.7,81,4.67e-12,6.62e-11,162,19.3,46,7.35e-09,2.4e-07
"38","Signaling by FGFR in disease",178,44.7,88,1.23e-12,1.96e-11,178,21.2,50,2.41e-09,8.88e-08
"39","Signaling by Interleukins",116,29.1,84,4.98e-27,1.16e-24,116,13.8,54,8.16e-21,1.14e-18
"40","Signaling by SCF-KIT",142,35.7,75,8.56e-13,1.4e-11,142,16.9,41,2.91e-08,8.16e-07
"41","Signaling by TGF-beta Receptor Complex",70,17.6,46,7.41e-13,1.22e-11,70,8.33,23,2.98e-06,4.4e-05
"42","Signaling by the B Cell Receptor (BCR)",199,50,118,2.93e-25,5.87e-23,199,23.7,60,2.11e-12,1.18e-10
"43","Signalling by NGF",290,72.8,136,1.8e-16,7.87e-15,290,34.5,73,1.29e-10,5.48e-09
"44","TCR signaling",65,16.3,43,2.99e-12,4.41e-11,65,7.74,25,3.28e-08,8.84e-07
"45","Toll Like Receptor 10 (TLR10) Cascade",74,18.6,50,1.35e-14,3.21e-13,74,8.81,37,6.68e-16,6.24e-14
"46","Toll Like Receptor 2 (TLR2) Cascade",81,20.3,56,6.7e-17,3.61e-15,81,9.64,38,3.95e-15,2.64e-13
"47","Toll Like Receptor 3 (TLR3) Cascade",88,22.1,60,1.47e-17,1.21e-15,88,10.5,50,2.1e-24,4.59e-22
"48","Toll Like Receptor 4 (TLR4) Cascade",103,25.9,73,1.06e-22,1.49e-20,103,12.3,57,7.14e-27,4.18e-24
"49","Toll Like Receptor 5 (TLR5) Cascade",74,18.6,50,1.35e-14,3.21e-13,74,8.81,37,6.68e-16,6.24e-14
"50","Toll Like Receptor 7/8 (TLR7/8) Cascade",77,19.3,53,6.23e-16,2.36e-14,77,9.17,37,3.47e-15,2.64e-13
"51","Toll Like Receptor 9 (TLR9) Cascade",79,19.8,53,3.41e-15,1.04e-13,79,9.41,37,9.81e-15,6.25e-13
"52","Toll Like Receptor TLR1:TLR2 Cascade",81,20.3,56,6.7e-17,3.61e-15,81,9.64,38,3.95e-15,2.64e-13
"53","Toll Like Receptor TLR6:TLR2 Cascade",81,20.3,56,6.7e-17,3.61e-15,81,9.64,38,3.95e-15,2.64e-13
"54","Toll-Like Receptors Cascades",123,30.9,83,2.22e-23,3.46e-21,123,14.6,60,2.29e-24,4.59e-22
"55","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",76,19.1,52,1.75e-15,5.57e-14,76,9.05,36,1.46e-14,8.88e-13
"56","TRAF6 Mediated Induction of proinflammatory cytokines",62,15.6,42,1.6e-12,2.46e-11,62,7.38,29,8.32e-12,4.17e-10
"57","TRIF-mediated TLR3/TLR4 signaling",87,21.9,60,6.15e-18,6.16e-16,87,10.4,50,1.02e-24,3.57e-22
