"Pathway","Total","Expected","Hits","P.Value","FDR"
"Signaling by NOTCH1 HD Domain Mutants in Cancer",74,6.95,21,2.43e-06,3.18e-05
"Interferon gamma signaling",74,6.95,21,2.43e-06,3.18e-05
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer",74,6.95,21,2.43e-06,3.18e-05
"Signaling by NOTCH1",74,6.95,21,2.43e-06,3.18e-05
"Activation of BH3-only proteins",24,2.25,11,3.66e-06,4.76e-05
"Response to elevated platelet cytosolic Ca2+",94,8.83,24,3.72e-06,4.79e-05
"Prolonged ERK activation events",20,1.88,10,3.84e-06,4.9e-05
"Constitutive Signaling by NOTCH1 PEST Domain Mutants",59,5.54,18,4.11e-06,5.2e-05
"SHC1 events in ERBB2 signaling",25,2.35,11,5.99e-06,7.5e-05
"Semaphorin interactions",72,6.76,20,6.05e-06,7.51e-05
"MAPK targets/ Nuclear events mediated by MAP kinases",30,2.82,12,7.49e-06,9.21e-05
"Apoptotic execution  phase",57,5.35,17,1.07e-05,0.00013
"Frs2-mediated activation",18,1.69,9,1.2e-05,0.000145
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",52,4.88,16,1.25e-05,0.00015
"Signalling to RAS",27,2.54,11,1.47e-05,0.000175
"Signaling by NOTCH",95,8.92,23,1.53e-05,0.000181
"Nef and signal transduction",8,0.751,6,1.59e-05,0.000186
