"Pathway","Total","Expected","Hits","P.Value","FDR"
"p53-Independent DNA Damage Response",52,16.4,37,5.03e-09,8.4e-08
"p53-Independent G1/S DNA damage checkpoint",52,16.4,37,5.03e-09,8.4e-08
"Destabilization of mRNA by AUF1 (hnRNP D0)",54,17.1,38,5.14e-09,8.47e-08
"Signaling by FGFR in disease",178,56.3,93,5.99e-09,9.73e-08
"Signalling to ERKs",37,11.7,29,6.04e-09,9.73e-08
"mRNA Processing",140,44.3,77,6.45e-09,1.03e-07
"S Phase",122,38.6,69,8.47e-09,1.33e-07
"ER-Phagosome pathway",63,19.9,42,1.03e-08,1.61e-07
"p53-Dependent G1/S DNA damage checkpoint",59,18.7,40,1.11e-08,1.67e-07
"p53-Dependent G1 DNA Damage Response",59,18.7,40,1.11e-08,1.67e-07
"Ubiquitin-dependent degradation of Cyclin D1",49,15.5,35,1.12e-08,1.67e-07
"Ubiquitin-dependent degradation of Cyclin D",49,15.5,35,1.12e-08,1.67e-07
"Signalling to RAS",27,8.54,23,1.23e-08,1.8e-07
"Thrombin signalling through proteinase activated receptors (PARs)",34,10.8,27,1.23e-08,1.8e-07
"APC/C-mediated degradation of cell cycle proteins",89,28.2,54,1.3e-08,1.86e-07
"Regulation of mitotic cell cycle",89,28.2,54,1.3e-08,1.86e-07
"Metabolism of mRNA",317,100,147,1.36e-08,1.92e-07
"Metabolism of RNA",339,107,155,1.78e-08,2.45e-07
"NOD1/2 Signaling Pathway",38,12,29,1.78e-08,2.45e-07
"Signaling by ERBB2",164,51.9,86,1.8e-08,2.45e-07
"DAP12 signaling",164,51.9,86,1.8e-08,2.45e-07
"Activation of BH3-only proteins",24,7.59,21,2.06e-08,2.78e-07
"Regulation of activated PAK-2p34 by proteasome mediated degradation",48,15.2,34,2.57e-08,3.43e-07
"Vpu mediated degradation of CD4",50,15.8,35,2.6e-08,3.44e-07
"Assembly of the pre-replicative complex",63,19.9,41,4.42e-08,5.76e-07
"Antigen processing-Cross presentation",78,24.7,48,4.44e-08,5.76e-07
"L1CAM interactions",112,35.4,63,5e-08,6.43e-07
"Apoptotic execution  phase",57,18,38,5.24e-08,6.68e-07
"Vif-mediated degradation of APOBEC3G",55,17.4,37,5.47e-08,6.91e-07
"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer",43,13.6,31,5.54e-08,6.94e-07
"CDK-mediated phosphorylation and removal of Cdc6",49,15.5,34,5.85e-08,7.26e-07
"TGF-beta receptor signaling activates SMADs",30,9.49,24,6.38e-08,7.84e-07
"Mitotic M-M/G1 phases",266,84.1,125,6.75e-08,8.23e-07
"Interferon alpha/beta signaling",68,21.5,43,7.23e-08,8.74e-07
"M Phase",233,73.7,112,7.47e-08,8.95e-07
"Antigen Activates B Cell Receptor Leading to Generation of Second Messengers",32,10.1,25,7.91e-08,9.39e-07
"Synthesis of DNA",95,30,55,9.44e-08,1.11e-06
"SOS-mediated signalling",14,4.43,14,9.74e-08,1.14e-06
